system:index,MAP,MAT,areaHa,aspect,class,elev,lat,long,precip,precip_drymo,precip_wetmo,sharedlat,sharedlong,slope,soil,.geo
6202,1263.2749755548607,217.2008575810912,-5.1006537347838974E10,189.4237992478051,2.0,829.9406289949856,-18.141942683644874,-44.858023072412486,1201.8425073398357,2.360134540098576,279.0415569343088,-18.206300702376158,-44.88456527485125,3.405520953321202,ÁGUA,
3872,1357.578047243679,222.4449507361194,-5.100655899977649E10,192.76321246451428,2.0,794.0563362249952,-17.90507498674741,-45.59235821497401,1280.4768190136806,5.0,274.61426785502056,-17.896240791427704,-45.58533700071634,3.299939420347272,RUbe1,
6364,1252.2140231253347,221.68108425895946,-5.100656171656784E10,188.05440259554598,2.0,725.9257150443049,-19.25650463482629,-44.7948436704534,1186.3484875472177,11.0,258.6081282951264,-19.343561101638407,-44.77672724931868,3.190529437680347,LVd8,
6510,1221.3133148191862,222.04090946704082,-5.100656141250895E10,157.30916905682503,2.0,708.3027864479247,-19.147351075294658,-44.717490012046255,1171.262012210626,9.808172786653703,257.04194185775185,-19.14853550345035,-44.71865187103617,3.7217978484417333,CXbd21,
6665,1218.479696637647,222.19508373833523,-5.100656178324567E10,187.5963191715232,2.0,691.014038158766,-19.16928288202203,-44.6614361143979,1193.8762768632319,9.370647905815096,255.33167714286225,-19.19204510551704,-44.664508733131726,2.661039664807336,CXbd21,
6755,1198.8387308257547,221.65739270145076,-5.1006561178701035E10,224.70219918601285,2.0,693.3760568886585,-19.073752367833794,-44.63158012162864,1179.5429607381645,8.614120524920944,255.73617908389744,-19.053992681937856,-44.64268706710869,3.319506247615215,CXbd21,
3721,1406.5717942511594,224.31043738034734,-5.10065613470003E10,141.79596091850738,2.0,780.4365132869417,-17.863881203651246,-45.98916918711781,1367.6933108940993,5.0,283.97584494761423,-17.849692292583278,-46.00402585278838,3.3135149382173648,RUbe1,
4141,1321.9058323057332,222.71080309613444,7879.93568492069,171.0969323384021,2.0,780.7598875606994,-17.97573690710522,-45.392276734312375,1280.4766734921518,4.331639624604906,269.2541651401265,-17.975381346642507,-45.44829983175129,3.28514121102737,LVAd12,
4988,1272.2968392494195,222.68707771772316,-5.100655949479802E10,181.49751194288496,2.0,759.7840726899296,-18.374243894433153,-45.19654741586034,1244.6733062511387,4.0367664781126225,262.03899497645324,-18.37363115616066,-45.19633579262943,5.115867310111112,LVd3,
4345,1392.69552447314,219.9259683295487,-5.100656112268233E10,144.74968186752318,2.0,697.668767225595,-19.6949086161052,-45.3632853672851,1432.7999934899897,12.0,294.33557100198834,-19.64416155174527,-45.37218780743307,2.983609385129229,RLd2,
6096,1334.0386911618734,218.48327600157836,-5.100656175611788E10,158.1957118770405,2.0,726.7415782110104,-19.59656462403369,-44.85812764492477,1241.1703768974678,7.390361887603196,273.9332634457249,-19.602990892555574,-44.86701579642982,3.7548371924314106,CXbd21,
5832,1291.716227253154,225.4448012038157,-5.100656197104385E10,216.8216287476923,2.0,653.8519336779574,-19.447165639086787,-44.94738556530578,1238.2664409170266,11.0,270.7008495676268,-19.431366445318346,-44.95777907340623,2.728988092193518,LVd8,
6411,1212.2724254022362,222.53268266926358,1791.6614841724777,168.52377937319375,2.0,708.3770867854887,-19.084057561452205,-44.7478078389656,1182.2730000121237,9.032796092374117,259.24316168264363,-19.066712207653286,-44.74457237520871,2.614147029419962,RLd3,
6090,1267.7497369281775,214.29671866070794,836.698200168376,194.59532425025043,2.0,881.3675218214835,-18.430211233536838,-44.885436271862424,1226.2291417659044,4.0,275.05155329186243,-18.206300702376158,-44.88456527485125,2.301300403463324,CXbd12,
